,UID,ANS
2282,20670,"[[10], [10, 11, 9, 23, 49, 47, 7, 41, 6, 69]]"
2283,3365,"[[45], [45, 47, 11, 68, 54, 9, 31, 14, 27, 42]]"
2284,21993,"[[36], [36, 29, 62, 94, 46, 12, 96, 91, 1, 87]]"
2285,2242,"[[27], [27, 61, 26, 7, 39, 2, 23, 41]]"
2286,15097,"[[62], [62, 28, 49, 48, 27, 29, 61, 11, 10, 65]]"
2287,15013,"[[78], [78, 76, 93, 89, 72, 83, 61, 96, 31, 66]]"
2288,21885,"[[53], [53, 27, 6, 20, 18, 51]]"
2289,17171,"[[54], [54, 61, 14, 28, 65, 47, 36, 12, 45, 38]]"
2290,16160,"[[50], [50, 29, 27, 18, 31, 10, 28, 45, 19, 42]]"
2291,24447,"[[81], [81, 100, 80, 72, 53, 6, 46, 79, 50, 61]]"
2292,19597,"[[42], [42, 62, 66, 68, 12, 17, 8, 52, 28, 1]]"
2293,13837,"[[21], [21, 80, 62, 76, 29, 98, 34, 47, 96, 84]]"
2294,6763,"[[35], [35, 66, 11, 21, 60, 42, 46, 12, 67, 30]]"
2295,4664,"[[21], [21, 29, 50, 26, 36, 68, 40, 84, 7, 8]]"
2296,15603,"[[69], [69, 66, 93, 32, 68, 21, 80, 25, 34, 12]]"
2297,6056,"[[36], [36, 27, 78, 49, 3, 69, 65, 61, 47, 28]]"
2298,5776,"[[29], [29, 65, 54, 21, 31, 66, 42, 12, 87, 100]]"
2299,5040,"[[29], [29, 61, 2, 56, 49, 54, 68, 12, 64, 4]]"
2300,5959,"[[50], [50, 49, 35, 43, 22, 45, 90, 20]]"
2301,2515,"[[50], [50, 45, 61, 11, 22, 56, 28, 25, 5, 16]]"
2302,23120,"[[90], [90, 84, 82, 97, 88, 61, 86, 85, 29, 70]]"
2303,13863,"[[19], [19, 93, 28, 55, 61, 16, 13, 64, 17, 18]]"
2304,21472,"[[52], [52, 14, 34, 39, 98, 22, 12, 31, 11, 70]]"
2305,18543,"[[50], [50, 89, 88, 12, 98, 34, 25, 78, 81, 77]]"
2306,9999,"[[51], [51, 11, 14, 42, 26, 76, 30, 70, 66, 47]]"
2307,5819,"[[53], [53, 32, 69, 47, 62, 65, 31, 75, 91, 84]]"
2308,155,"[[10], [10, 1, 50, 27, 31, 3, 9, 61, 86, 13]]"
2309,8744,"[[50], [50, 49, 56, 35, 62, 66, 46, 28, 22, 52]]"
2310,150,"[[68], [68, 21, 36, 61, 14, 87, 90, 34, 10, 94]]"
2311,12383,"[[62], [62, 68, 65, 48, 5, 39, 25, 38, 55, 7]]"
2312,3471,"[[60], [60, 38, 64, 76, 5, 51, 48, 28, 23, 47]]"
2313,18870,"[[32], [32, 31, 69, 56, 42, 2, 7, 14, 3, 76]]"
2314,8918,"[[27], [27, 50, 32, 83, 54, 65, 56, 85, 94, 84]]"
2315,14792,"[[50], [50, 10, 31, 53, 55, 40, 8, 51, 25, 54]]"
2316,113,"[[21], [21, 68, 26, 48, 52, 19, 20, 15]]"
2317,3566,"[[56], [56, 36, 27, 63, 28, 60, 59, 23]]"
2318,15276,"[[21], [21, 27, 54, 34, 12, 69, 46, 22, 28, 23]]"
2319,5061,"[[22], [22, 41, 8, 16, 24, 17, 3, 70, 48]]"
2320,734,"[[29], [29, 12, 27, 40, 39, 45, 47, 25, 53, 5]]"
2321,8161,"[[36], [36, 56, 66, 28, 93, 12, 40, 45, 71, 51]]"
2322,23587,"[[84], [84, 94, 49, 82, 48, 53, 81, 21, 20, 10]]"
2323,11941,"[[11], [11, 45, 27, 41, 35, 56, 53, 67, 12, 24]]"
2324,18031,"[[24], [24, 43, 65, 36, 66, 51, 14, 69, 41, 60]]"
2325,24228,"[[29], [29, 53, 35, 12, 2, 74, 22, 47, 13, 20]]"
2326,7589,"[[5], [5, 53, 29, 35, 87, 76, 31, 61, 68, 48]]"
2327,10563,"[[1], [1, 3, 23, 56, 41, 93, 94, 81, 9, 72]]"
2328,8645,"[[22], [22, 14, 66, 55, 61, 28, 54, 23, 9, 30]]"
2329,21175,"[[62], [62, 12, 68, 39, 47, 27]]"
2330,1826,"[[66], [66, 56, 38, 34, 24, 16]]"
2331,11634,"[[34], [34, 97, 65, 66, 14, 64, 7, 18, 16]]"
2332,15342,"[[66], [66, 36, 63, 40, 34, 53, 22, 26, 56, 20]]"
2333,14599,"[[36], [36, 42, 53, 46, 5, 39, 68, 34, 17, 51]]"
2334,3234,"[[98], [98, 76, 21, 14, 12, 50, 88, 36, 91, 40]]"
2335,24189,"[[10], [10, 21, 45, 57, 56, 38, 9, 41, 66, 37]]"
2336,11594,"[[29], [29, 35, 46, 53, 22, 25, 34, 66, 40, 81]]"
2337,1477,"[[87], [87, 72, 50, 47, 79, 53, 68, 15, 18, 59]]"
2338,18438,"[[31], [31, 49, 69, 68, 15]]"
2339,16403,"[[93], [93, 35, 96, 10, 76, 36, 38, 54, 27, 81]]"
2340,21911,"[[89], [89, 62, 50, 88, 97, 93, 81, 90, 66, 69]]"
2341,9512,"[[50], [50, 27, 42, 38, 28, 26, 45, 78, 93, 23]]"
2342,14022,"[[51], [51, 17, 11, 22, 42, 6, 24, 57, 58, 31]]"
2343,2347,"[[53], [53, 54, 48, 42, 12, 39, 63, 34, 65, 22]]"
2344,2432,"[[50], [50, 49, 65, 69, 66, 48, 26, 34, 8, 51]]"
2345,17017,"[[86], [86, 47, 49, 66, 76, 67, 64, 19, 18, 45]]"
2346,23059,"[[27], [27, 62, 66, 89, 31, 61, 48, 18, 21, 45]]"
2347,198,"[[55], [55, 10, 36, 54, 61, 50, 89, 66, 49, 31]]"
2348,1601,"[[53], [53, 50, 36, 62, 11, 69, 21, 26, 56, 70]]"
2349,6618,"[[62], [62, 32, 54, 35, 45, 81, 14, 70, 59, 18]]"
2350,19170,"[[50], [50, 26, 36, 1, 27, 48, 39, 31, 45, 4]]"
2351,984,"[[36], [36, 27, 69, 31, 48, 8, 18, 63, 13, 22]]"
2352,20644,"[[53], [53, 32, 60, 10, 15, 97, 8, 40, 37, 26]]"
2353,3581,"[[31], [31, 76, 56, 54, 66, 12, 48, 88, 11, 86]]"
2354,3088,"[[27], [27, 61, 42, 11, 40, 14, 20, 46]]"
2355,4970,"[[27], [27, 62, 49, 54, 69, 31, 5, 56, 80, 12]]"
2356,24926,"[[50], [50, 36, 53, 32, 62, 88, 35, 77, 97, 42]]"
2357,5287,"[[18], [18, 16, 50, 67, 1, 29, 23, 43, 3, 42]]"
2358,18254,"[[88], [88, 100, 27, 91, 36, 92, 86, 50, 53, 65]]"
2359,19634,"[[62], [62, 72, 76, 91, 78, 80, 99, 38, 7, 71]]"
2360,1035,"[[78], [78, 27, 92, 76, 28, 40, 34, 23, 1, 71]]"
2361,22805,"[[65], [65, 61, 32, 26, 6, 34, 11, 77, 19, 96]]"
2362,24716,"[[83], [83, 82, 68, 32, 35, 63, 77, 49, 56, 54]]"
2363,11094,"[[86], [86, 43, 82, 77, 72, 71, 32, 80, 56, 53]]"
2364,21249,"[[31], [31, 26, 13, 42, 5, 61, 16]]"
2365,10472,"[[68], [68, 28, 47, 82, 38, 11, 55, 65, 9, 29]]"
2366,1928,"[[100], [100, 79, 12, 88, 11, 14, 59, 52, 47, 69]]"
2367,3443,"[[62], [62, 9, 10, 8, 81, 43, 72, 22, 31, 34]]"
2368,17016,"[[29], [29, 66, 65, 28, 41, 13, 40]]"
2369,7275,"[[50], [50, 61, 54, 93, 28, 8, 37]]"
2370,3535,"[[11], [11, 35, 55, 38, 6, 54, 21, 42, 14, 4]]"
2371,6983,"[[62], [62, 20, 54, 19, 67, 55, 45, 57, 60, 18]]"
2372,14200,"[[27], [27, 49, 53, 31, 28, 26, 46, 89, 52, 38]]"
2373,2677,"[[18], [18, 25, 29, 20, 59, 1, 5, 41, 15, 8]]"
2374,5962,"[[27], [27, 50, 62, 49, 65, 61, 68, 11, 56, 48]]"
2375,13593,"[[89], [89, 54, 62, 32, 21, 98, 91, 97, 95, 39]]"
2376,24628,"[[50], [50, 39, 11, 36, 53, 52, 51, 10, 30, 8]]"
2377,16663,"[[54], [54, 6, 31, 56, 39, 60, 18, 100, 38, 11]]"
2378,11396,"[[6], [6, 54, 47, 12, 53, 69, 30, 56, 46, 59]]"
2379,1773,"[[68], [68, 62, 53, 42, 5, 16]]"
2380,5020,"[[32], [32, 35, 61, 28, 19, 22, 13]]"
2381,16759,"[[35], [35, 29, 53, 66, 27, 28, 65, 63, 57, 21]]"
2382,22534,"[[53], [53, 56, 46, 20, 99, 8, 25, 13, 30, 1]]"
2383,7750,"[[61], [61, 36, 32, 14, 49, 67, 12, 70, 2, 24]]"
2384,10080,"[[22], [22, 55, 38, 24, 32, 27, 45, 59, 88, 35]]"
2385,1489,"[[36], [36, 69, 35, 56, 89, 46, 65, 32, 21, 26]]"
2386,10814,"[[32], [32, 36, 48, 45, 12, 26, 15, 13, 17]]"
2387,16932,"[[9], [9, 91, 10, 67, 53, 96, 35, 97, 34, 66]]"
2388,22942,"[[39], [39, 85, 42, 61, 65, 5, 54, 46, 3, 23]]"
2389,15652,"[[36], [36, 62, 7, 96, 27, 87, 72, 47, 85, 21]]"
2390,24544,"[[29], [29, 89, 54, 66, 61, 16]]"
2391,6602,"[[89], [89, 83, 36, 80, 31, 8, 65, 48, 99, 39]]"
2392,18411,"[[50], [50, 69, 27, 1, 64, 12, 68, 39, 6, 16]]"
2393,9215,"[[28], [28, 62, 22, 30, 48, 39, 14, 40, 66, 11]]"
2394,20752,"[[10], [10, 49, 22, 88, 12, 93, 51, 68, 5, 91]]"
2395,15008,"[[14], [14, 54, 27, 50, 32, 56, 45, 40, 55, 18]]"
2396,11378,"[[62], [62, 54, 68, 66, 42, 93, 96, 31, 63, 60]]"
2397,16261,"[[94], [94, 62, 35, 63, 27, 54, 53, 46, 21, 42]]"
2398,17208,"[[32], [32, 14, 26, 52, 66, 25, 17, 23, 81, 80]]"
2399,823,"[[31], [31, 21, 49, 11, 54, 68, 16, 64, 13, 22]]"
2400,12311,"[[68], [68, 53, 14, 48, 31, 38, 45, 52, 59, 20]]"
2401,9157,"[[65], [65, 61, 26, 12, 46, 17, 38, 92, 70, 19]]"
2402,12961,"[[66], [66, 32, 21, 46, 22, 68, 13, 52]]"
2403,22126,"[[65], [65, 89, 46, 34, 5, 18, 84, 8, 17]]"
2404,4768,"[[1], [1, 11, 60, 8, 5, 27, 46, 91, 32, 88]]"
2405,2070,"[[50], [50, 21, 27, 22, 48, 11, 70, 38, 52, 10]]"
2406,9779,"[[64], [64, 3, 89, 95, 96, 30, 54, 49, 66, 61]]"
2407,17780,"[[55], [55, 63, 9, 64, 36, 50, 1, 22, 27, 45]]"
2408,6807,"[[27], [27, 5, 29, 69, 68, 39, 28, 46, 17, 15]]"
2409,21542,"[[68], [68, 53, 69, 27, 29, 28, 56, 52, 5, 13]]"
2410,14663,"[[89], [89, 94, 62, 78, 84, 83, 85, 61, 53, 43]]"
2411,1881,"[[32], [32, 54, 69, 56, 36, 42, 14, 48, 87, 19]]"
2412,24943,"[[18], [18, 94, 35, 16, 27, 70, 22, 56, 80, 29]]"
2413,10327,"[[97], [97, 35, 68, 39, 81, 83, 6, 66, 45, 34]]"
2414,12783,"[[96], [96, 93, 62, 86, 68, 87, 19, 84, 18, 73]]"
2415,7742,"[[50], [50, 62, 68, 61, 46, 63, 7, 70, 41, 59]]"
2416,12335,"[[27], [27, 49, 61, 28, 76, 46, 26, 6, 22, 39]]"
2417,14883,"[[7], [7, 35, 14, 25, 19, 38, 56, 39, 63]]"
2418,22134,"[[87], [87, 76, 77, 90, 79, 91, 68, 28, 59, 66]]"
2419,5994,"[[83], [83, 78, 73, 76, 6, 52, 61, 92, 11, 25]]"
2420,20629,"[[53], [53, 83, 69, 100, 61, 93, 94, 34, 6, 88]]"
2421,13496,"[[69], [69, 35, 29, 68, 17, 15, 16]]"
2422,6749,"[[11], [11, 60, 48, 68, 38, 33, 66, 43, 22, 31]]"
2423,11027,"[[1], [1, 66, 49, 90, 27, 48, 8, 43, 6, 11]]"
2424,9116,"[[93], [93, 62, 29, 53, 6, 99, 60, 73, 38, 20]]"
2425,5582,"[[49], [49, 61, 66, 21, 38, 79, 26, 46, 22, 30]]"
2426,273,"[[31], [31, 21, 32, 42, 53, 29, 68, 38, 67, 25]]"
2427,11865,"[[50], [50, 54, 29, 39, 35, 62, 23, 4, 64, 20]]"
2428,15315,"[[89], [89, 36, 50, 29, 57, 16, 53, 66, 40, 54]]"
2429,1639,"[[21], [21, 61, 36, 45, 35, 26, 34, 19, 11, 38]]"
2430,23654,"[[53], [53, 68, 50, 21, 28, 36, 29, 56, 14, 46]]"
2431,17431,"[[50], [50, 34, 76, 53, 45, 80, 68, 52, 23, 95]]"
2432,10394,"[[50], [50, 54, 69, 27, 89, 72, 88, 13, 97, 6]]"
2433,20729,"[[50], [50, 41, 46, 81, 34, 69, 7, 33, 70, 37]]"
2434,12401,"[[36], [36, 8, 89, 61, 49, 3, 40, 65, 86, 17]]"
2435,4402,"[[39], [39, 12, 26, 68, 40, 28, 5, 20, 17, 15]]"
2436,8850,"[[82], [82, 29, 96, 63, 12, 46, 79, 3, 60, 59]]"
2437,20151,"[[27], [27, 54, 65, 61, 39, 56, 19]]"
2438,13898,"[[22], [22, 6, 59, 28, 88, 76, 56, 79, 93, 57]]"
2439,17963,"[[89], [89, 29, 36, 68, 35, 48, 31, 83, 96, 88]]"
2440,15587,"[[69], [69, 76, 31, 61, 21, 68, 56, 96, 97, 6]]"
2441,5338,"[[69], [69, 31, 61, 38, 10, 22, 11, 25, 28, 64]]"
2442,12647,"[[50], [50, 65, 27, 14, 66, 38, 98, 41, 18, 19]]"
2443,14578,"[[14], [14, 29, 62, 66, 6, 90, 17, 18, 7]]"
2444,19150,"[[53], [53, 32, 22, 68, 27, 2, 16, 43, 23, 70]]"
2445,1870,"[[89], [89, 79, 32, 53, 42, 21, 66, 91, 50, 82]]"
2446,10612,"[[98], [98, 83, 77, 72, 89, 97, 75, 86, 99, 95]]"
2447,12113,"[[50], [50, 32, 61, 89, 48, 21, 40, 83, 8, 2]]"
2448,14086,"[[62], [62, 32, 49, 66, 82, 27, 38, 70, 18, 60]]"
2449,4701,"[[54], [54, 49, 35, 48, 38, 12, 60, 40, 64, 30]]"
2450,22626,"[[50], [50, 32, 68, 19, 11, 12, 34, 51, 17, 22]]"
2451,17821,"[[89], [89, 9, 91, 67, 92, 49, 19, 57, 53, 70]]"
2452,19427,"[[27], [27, 29, 31, 41, 19, 8, 15]]"
2453,21021,"[[50], [50, 53, 32, 65, 62, 7, 19, 25, 45, 20]]"
2454,18983,"[[54], [54, 36, 12, 48, 40, 98, 51, 41, 97, 33]]"
2455,20305,"[[36], [36, 89, 32, 88, 84, 92, 76, 78, 6, 47]]"
2456,19885,"[[47], [47, 68, 62, 76, 48, 90, 94, 88, 95, 91]]"
2457,14617,"[[36], [36, 32, 54, 26, 11, 52, 3, 19, 20, 55]]"
2458,20403,"[[69], [69, 62, 7, 65, 31, 25, 18, 8, 44]]"
2459,6311,"[[65], [65, 27, 35, 31, 49, 26, 6, 19, 47, 46]]"
2460,10666,"[[100], [100, 89, 31, 72, 84, 88, 29, 66, 69, 94]]"
2461,17579,"[[72], [72, 68, 28, 11, 53, 54, 38, 36, 69, 88]]"
2462,24021,"[[49], [49, 35, 54, 29, 11, 48, 12, 40, 46, 20]]"
2463,14434,"[[61], [61, 49, 6, 47, 34, 10, 3, 51, 43, 19]]"
2464,7280,"[[31], [31, 29, 69, 54, 68, 5, 1, 46, 14, 28]]"
2465,13084,"[[55], [55, 66, 97, 10, 30, 11, 36, 59, 53, 50]]"
2466,4198,"[[36], [36, 35, 49, 21, 56, 48, 6, 10, 13, 3]]"
2467,23513,"[[89], [89, 49, 54, 93, 84, 82, 46, 35, 21, 81]]"
2468,2842,"[[32], [32, 35, 49, 21, 92, 34, 38, 70, 45, 7]]"
2469,17952,"[[61], [61, 62, 66, 35, 36, 14, 83, 46, 34, 48]]"
2470,1839,"[[84], [84, 50, 86, 73, 59, 18, 55, 9, 22, 2]]"
2471,17799,"[[93], [93, 54, 73, 53, 49, 86, 82, 98, 85, 14]]"
2472,4027,"[[29], [29, 56, 25, 54, 66, 37, 60, 12, 31, 65]]"
2473,5234,"[[98], [98, 73, 65, 93, 54, 49, 17, 32, 90, 74]]"
2474,12618,"[[61], [61, 66, 34, 25, 29, 52, 2, 76, 30, 96]]"
2475,12198,"[[78], [78, 89, 11, 28, 76, 71, 48, 21, 42, 40]]"
2476,13138,"[[89], [89, 94, 50, 93, 88, 53, 42, 87, 6, 78]]"
2477,6064,"[[36], [36, 54, 53, 69, 31, 48, 10, 6, 22, 26]]"
2478,1987,"[[36], [36, 35, 66, 81, 38, 55, 3, 56, 26, 18]]"
2479,10460,"[[89], [89, 36, 47, 46, 20, 12, 34, 26, 73, 40]]"
2480,22652,"[[32], [32, 35, 51, 83, 59, 33, 88, 60, 57]]"
2481,1328,"[[72], [72, 69, 53, 56, 29, 16, 17, 15, 51]]"
2482,18153,"[[29], [29, 32, 36, 48, 31, 68, 65, 42, 14, 46]]"
2483,13948,"[[6], [6, 12, 39, 34, 85, 69, 56, 10, 76, 51]]"
2484,4192,"[[62], [62, 69, 61, 46, 6, 12, 48, 24, 39, 41]]"
2485,17784,"[[54], [54, 49, 61, 48, 6, 66, 51, 40, 46, 55]]"
2486,8967,"[[53], [53, 48, 15, 63, 84, 26, 40, 41, 14, 12]]"
2487,8887,"[[27], [27, 26, 87, 55, 21, 95, 11, 83, 98, 40]]"
2488,22898,"[[65], [65, 6, 34, 36, 31, 51, 50, 87, 80, 56]]"
2489,8089,"[[50], [50, 81, 39, 78, 42, 69, 6, 49, 11, 56]]"
2490,15160,"[[89], [89, 71, 87, 3, 47, 50, 23, 37, 44, 16]]"
2491,20679,"[[35], [35, 49, 21, 76, 12, 93, 97, 25, 77, 63]]"
2492,12833,"[[21], [21, 31, 42, 34, 66, 49, 51, 55, 43, 20]]"
2493,8837,"[[36], [36, 31, 21, 62, 26, 48, 2, 40, 3, 63]]"
2494,10747,"[[35], [35, 69, 21, 56, 5, 14, 2, 25, 45, 34]]"
2495,9900,"[[50], [50, 32, 29, 54, 69, 68, 66, 21, 14, 78]]"
2496,5192,"[[62], [62, 54, 69, 28, 14, 8, 38, 11, 23, 64]]"
2497,17398,"[[29], [29, 35, 66, 47, 46, 12, 1, 7, 5, 40]]"
2498,13036,"[[90], [90, 49, 20, 35, 31, 57, 5, 56, 13]]"
2499,1537,"[[8], [8, 38, 50, 54, 37, 91, 48, 43, 28, 82]]"
2500,10229,"[[32], [32, 49, 50, 54, 36, 61, 27, 63, 46, 14]]"
2501,21652,"[[36], [36, 21, 69, 10, 54, 49, 88, 61, 3, 56]]"
2502,14392,"[[89], [89, 49, 91, 84, 35, 38, 13, 1, 53, 20]]"
2503,12397,"[[14], [14, 61, 68, 28, 47, 50, 10, 95, 17]]"
2504,23199,"[[32], [32, 49, 47, 93, 53, 35, 88, 31, 80, 79]]"
2505,14852,"[[35], [35, 28, 48, 70, 21]]"
2506,7368,"[[53], [53, 69, 7, 87, 18, 15, 82, 77, 86, 42]]"
2507,7498,"[[37], [37, 2, 64, 55, 67, 22, 43, 62, 69, 3]]"
2508,4712,"[[32], [32, 18, 54, 7, 88, 91, 83, 5, 81, 97]]"
2509,23322,"[[36], [36, 29, 10, 31, 13, 97, 34, 96, 49, 68]]"
2510,12932,"[[40], [40, 38, 34, 46, 96, 27, 26, 8, 76, 17]]"
2511,11556,"[[54], [54, 72, 20, 98, 13, 75, 2, 80, 4, 78]]"
2512,7452,"[[6], [6, 72, 89, 34, 88, 51, 43, 46, 65, 42]]"
2513,24875,"[[76], [76, 78, 88, 85, 82, 11, 95, 21, 94, 84]]"
2514,18297,"[[66], [66, 65, 56, 12, 25, 10, 39, 28, 48, 98]]"
2515,23510,"[[62], [62, 50, 38, 69, 48, 95, 23, 71, 92, 84]]"
2516,21142,"[[27], [27, 35, 54, 87, 42, 34, 26, 6, 88, 76]]"
2517,16250,"[[35], [35, 36, 46, 10, 18, 27, 39, 15, 41, 13]]"
2518,3975,"[[62], [62, 54, 53, 65, 94, 23, 93, 6, 36, 77]]"
2519,16704,"[[10], [10, 23, 88, 50, 45, 37, 95, 32, 35, 28]]"
2520,5124,"[[47], [47, 62, 97, 83, 14, 53, 56, 29, 50, 12]]"
2521,23845,"[[35], [35, 54, 49, 31, 12, 42, 6, 46, 28, 79]]"
2522,20277,"[[69], [69, 49, 14, 92, 46, 38, 19, 20, 7, 16]]"
2523,704,"[[62], [62, 32, 49, 69, 60, 23, 12, 61, 96, 65]]"
2524,22490,"[[98], [98, 78, 94, 95, 71, 66, 31, 2, 46, 19]]"
2525,1082,"[[35], [35, 36, 27, 62, 61, 21, 26, 5, 1, 18]]"
2526,22152,"[[50], [50, 27, 31, 6, 39, 75, 25, 38, 18, 17]]"
2527,7490,"[[50], [50, 8, 5, 25, 60, 38, 23, 70, 3, 16]]"
2528,22173,"[[65], [65, 46, 68, 66, 35, 34, 36, 31, 27, 9]]"
2529,4149,"[[63], [63, 29, 35, 94, 14, 42, 66, 88, 43, 36]]"
2530,12862,"[[50], [50, 7, 32, 62, 16, 5, 23, 49, 48, 11]]"
2531,8351,"[[50], [50, 29, 36, 32, 65, 5, 54, 56, 14, 8]]"
2532,14571,"[[73], [73, 78, 83, 82, 21, 61, 39, 91, 50, 36]]"
2533,21002,"[[6], [6, 61, 76, 45, 72, 83, 30, 81, 41, 90]]"
2534,3516,"[[89], [89, 35, 68, 87, 6, 92, 56, 96, 45, 22]]"
2535,12744,"[[27], [27, 32, 65, 49, 21, 46, 48, 28, 25, 2]]"
2536,5801,"[[29], [29, 1, 26, 13, 8, 37, 40, 12, 94, 55]]"
2537,12155,"[[52], [52, 42, 80, 72, 25, 53, 35, 36, 46, 70]]"
2538,10201,"[[27], [27, 80, 32, 50, 62, 26, 18, 8, 7, 13]]"
2539,1138,"[[53], [53, 27, 5, 89, 62, 61, 65, 11, 46, 20]]"
2540,15237,"[[27], [27, 34, 54, 49, 32, 47, 28, 29, 10, 5]]"
2541,20498,"[[62], [62, 8, 36, 53, 54, 66, 19, 38, 5, 61]]"
2542,18412,"[[69], [69, 50, 56, 12, 27, 1, 52, 97, 64, 60]]"
2543,19177,"[[89], [89, 80, 78, 36, 73, 12, 32, 91, 61, 11]]"
2544,24872,"[[62], [62, 61, 54, 39, 29, 47, 12, 65, 34, 59]]"
2545,1344,"[[50], [50, 32, 68, 64, 78, 17, 92, 22, 42, 45]]"
2546,7101,"[[62], [62, 56, 76, 45, 40, 93, 73, 70, 38, 19]]"
2547,23023,"[[62], [62, 66, 35, 56, 12, 6, 47, 26, 59, 23]]"
2548,10651,"[[40], [40, 64, 22, 30, 27, 26, 61, 28]]"
2549,8499,"[[1], [1, 11, 10, 64, 49, 69, 42, 89, 98, 99]]"
2550,4034,"[[15], [15, 36, 60, 40, 27, 32, 69, 44, 53, 13]]"
2551,4587,"[[29], [29, 36, 27, 45, 28, 42, 5, 60, 46, 10]]"
2552,3267,"[[38], [38, 48, 54, 1, 90, 21, 27, 50, 53, 81]]"
2553,11293,"[[30], [30, 28, 48, 68, 43, 27, 14, 44, 60, 31]]"
2554,20669,"[[48], [48, 45, 11, 36, 40, 6, 19, 30, 41, 69]]"
2555,5808,"[[36], [36, 38, 88, 1, 91, 24, 22, 31, 46, 53]]"
2556,5906,"[[27], [27, 54, 61, 29, 65, 70, 40, 45, 52, 51]]"
2557,136,"[[62], [62, 70, 36, 6, 22, 92, 73, 80, 29, 93]]"
2558,13000,"[[32], [32, 76, 49, 91, 36, 82, 96, 48, 6, 73]]"
2559,15436,"[[94], [94, 95, 24, 44, 8, 92, 85, 62, 30, 58]]"
2560,14912,"[[54], [54, 62, 49, 66, 7, 20, 5, 45, 15, 63]]"
2561,21011,"[[15], [15, 56, 44, 7, 46, 63, 32, 3, 69, 23]]"
2562,265,"[[49], [49, 62, 50, 3, 96, 10, 36, 82, 38, 56]]"
2563,11026,"[[89], [89, 76, 86, 46, 71, 26, 11, 95, 34, 78]]"
2564,4637,"[[29], [29, 36, 8, 64, 87, 86, 49, 45, 21, 53]]"
2565,20889,"[[54], [54, 36, 12, 42, 32, 55, 49, 43, 53, 56]]"
2566,6826,"[[55], [55, 10, 54, 62, 21, 50, 29, 12, 4, 13]]"
2567,807,"[[27], [27, 53, 35, 66, 86, 61, 65, 49, 95, 31]]"
2568,7547,"[[27], [27, 32, 31, 48, 72, 21, 39, 20, 70, 14]]"
2569,22884,"[[34], [34, 42, 14, 39, 26, 63, 35, 29, 70, 31]]"
2570,839,"[[31], [31, 27, 2, 42, 93, 10, 65, 95, 7, 13]]"
2571,13662,"[[31], [31, 49, 32, 66, 78, 98, 90, 81, 8, 96]]"
2572,10809,"[[32], [32, 29, 68, 49, 46, 42, 13, 25, 34, 20]]"
2573,15428,"[[95], [95, 61, 93, 62, 96, 23, 45, 54, 29, 11]]"
2574,9377,"[[29], [29, 100, 46, 14, 32, 66, 68, 9, 13, 70]]"
2575,20475,"[[80], [80, 76, 39, 56, 29, 25, 31, 87, 36, 66]]"
2576,5777,"[[67], [67, 22, 96, 95, 44, 97, 93, 15, 34, 70]]"
2577,3814,"[[61], [61, 64, 55, 34, 37, 66, 9, 27, 68, 28]]"
2578,9293,"[[36], [36, 54, 50, 6, 17, 64, 70, 63, 33, 16]]"
2579,1888,"[[11], [11, 52, 31, 14, 68, 78, 35, 84, 3, 9]]"
2580,17224,"[[50], [50, 1, 89, 34, 91, 31, 83, 60, 56, 98]]"
2581,11671,"[[36], [36, 53, 68, 48, 25, 59, 20, 52]]"
2582,9865,"[[87], [87, 76, 90, 11, 49, 68, 75, 47, 35, 69]]"
2583,20530,"[[53], [53, 32, 49, 68, 66, 28, 22, 61, 38, 45]]"
2584,5795,"[[27], [27, 32, 69, 19, 93, 75, 96, 10, 25, 55]]"
2585,2613,"[[49], [49, 54, 69, 77, 25, 26, 20]]"
2586,23930,"[[38], [38, 6, 65, 32, 56, 27, 45, 1, 4, 64]]"
2587,23474,"[[28], [28, 36, 2, 41, 20, 10, 3, 79, 51, 43]]"
2588,7255,"[[6], [6, 47, 9, 95, 50, 41, 40, 86, 84, 71]]"
2589,21819,"[[32], [32, 61, 42, 56, 26, 46, 75, 48, 52, 22]]"
2590,11000,"[[42], [42, 14, 21, 38, 45, 20, 30, 9, 17]]"
2591,19835,"[[62], [62, 32, 35, 21, 31, 65, 42, 56, 26, 87]]"
2592,12058,"[[35], [35, 50, 66, 65, 14, 36, 25, 96, 22, 23]]"
2593,20675,"[[50], [50, 56, 48, 34, 100, 81, 10, 70, 73, 23]]"
2594,7680,"[[32], [32, 54, 61, 11, 31, 39, 28, 26, 99, 22]]"
2595,18885,"[[65], [65, 21, 54, 66, 34, 2, 47, 70, 74, 33]]"
2596,18398,"[[49], [49, 53, 62, 42, 87, 1, 34, 19, 63, 7]]"
2597,24340,"[[3], [3, 60, 50, 55, 22, 7, 62, 38, 61, 64]]"
2598,11993,"[[22], [22, 31, 53, 69, 61, 17, 59, 19, 47, 15]]"
2599,6190,"[[89], [89, 27, 72, 36, 49, 48, 50, 83, 6, 84]]"
2600,3673,"[[38], [38, 46, 65, 45, 14, 48, 26, 66, 61, 69]]"
2601,15405,"[[72], [72, 56, 54, 87, 100, 71, 75, 86, 37]]"
2602,22717,"[[35], [35, 42, 38, 69, 5, 60, 3, 83, 72, 9]]"
2603,21787,"[[97], [97, 18, 69, 91, 96, 87, 13, 86, 37, 3]]"
2604,5449,"[[54], [54, 69, 98, 14, 100, 88, 47, 10, 51, 38]]"
